Hecho Punible,Dpto,Denunciado,Aclarado,Semestre,Mes
HOMICIDIO CULPOSO EN ACC DE TTO.,Canindeyu,3,3,1,Marzo
HOMICIDIO DOLOSO,Canindeyu,0,0,1,Marzo
HURTO,Canindeyu,0,0,1,Marzo
HURTO AGRAVADO,Canindeyu,0,0,1,Marzo
LESION CULPOSA EN ACC. DE TTO.,Canindeyu,4,4,1,Marzo
LESION,Canindeyu,2,0,1,Marzo
ROBO DE OBJETOS,Canindeyu,0,0,1,Marzo
ROBO AGRAVADO DE OBJETOS,Canindeyu,1,0,1,Marzo
ROBO DE VEHICULOS,Canindeyu,0,0,1,Marzo
ROBO AGRAVADO DE VEHICULOS,Canindeyu,0,0,1,Marzo
ROBO DE MOTOCICLETAS,Canindeyu,0,0,1,Marzo
ROBO AGRAVADO DE MOTOCICLETAS,Canindeyu,0,0,1,Marzo
ABIGEATO,Misiones,0,0,1,Marzo
COACCION SEXUAL,Misiones,0,0,1,Marzo
HOMICIDIO CULPOSO EN ACC DE TTO.,Misiones,2,1,1,Marzo
HOMICIDIO DOLOSO,Misiones,0,0,1,Marzo
HURTO,Misiones,1,1,1,Marzo
HURTO AGRAVADO,Misiones,0,0,1,Marzo
LESION CULPOSA EN ACC. DE TTO.,Misiones,10,10,1,Marzo
LESION,Misiones,1,0,1,Marzo
ROBO DE OBJETOS,Misiones,0,0,1,Marzo
ROBO AGRAVADO DE OBJETOS,Misiones,0,0,1,Marzo
ROBO DE VEHICULOS,Misiones,0,0,1,Marzo
ROBO AGRAVADO DE VEHICULOS,Misiones,0,0,1,Marzo
ROBO DE MOTOCICLETAS,Misiones,0,0,1,Marzo
ROBO AGRAVADO DE MOTOCICLETAS,Misiones,0,0,1,Marzo
ABIGEATO,Paraguari,11,3,1,Marzo
COACCION SEXUAL,Paraguari,1,0,1,Marzo
HOMICIDIO CULPOSO EN ACC DE TTO.,Paraguari,2,2,1,Marzo
HOMICIDIO DOLOSO,Paraguari,0,0,1,Marzo
HURTO,Paraguari,2,2,1,Marzo
HURTO AGRAVADO,Paraguari,3,0,1,Marzo
LESION CULPOSA EN ACC. DE TTO.,Paraguari,18,16,1,Marzo
LESION,Paraguari,4,2,1,Marzo
ROBO DE OBJETOS,Paraguari,0,0,1,Marzo
ROBO AGRAVADO DE OBJETOS,Paraguari,1,0,1,Marzo
ROBO DE VEHICULOS,Paraguari,0,0,1,Marzo
ROBO AGRAVADO DE VEHICULOS,Paraguari,1,0,1,Marzo
ROBO DE MOTOCICLETAS,Paraguari,6,2,1,Marzo
ROBO AGRAVADO DE MOTOCICLETAS,Paraguari,1,0,1,Marzo
ABIGEATO,Ñeembucu,5,1,1,Marzo
COACCION SEXUAL,Ñeembucu,0,0,1,Marzo
HOMICIDIO CULPOSO EN ACC DE TTO.,Ñeembucu,0,0,1,Marzo
HOMICIDIO DOLOSO,Ñeembucu,0,0,1,Marzo
HURTO,Ñeembucu,2,1,1,Marzo
HURTO AGRAVADO,Ñeembucu,0,0,1,Marzo
LESION CULPOSA EN ACC. DE TTO.,Ñeembucu,3,3,1,Marzo
LESION,Ñeembucu,1,0,1,Marzo
ROBO DE OBJETOS,Ñeembucu,0,0,1,Marzo
ROBO AGRAVADO DE OBJETOS,Ñeembucu,0,0,1,Marzo
ROBO DE VEHICULOS,Ñeembucu,0,0,1,Marzo
ROBO AGRAVADO DE VEHICULOS,Ñeembucu,0,0,1,Marzo
ROBO DE MOTOCICLETAS,Ñeembucu,2,1,1,Marzo
ROBO AGRAVADO DE MOTOCICLETAS,Ñeembucu,0,0,1,Marzo
ABIGEATO,Boqueron,0,0,1,Marzo
COACCION SEXUAL,Boqueron,1,1,1,Marzo
HOMICIDIO CULPOSO EN ACC DE TTO.,Boqueron,1,0,1,Marzo
HOMICIDIO DOLOSO,Boqueron,0,0,1,Marzo
HURTO,Boqueron,0,0,1,Marzo
HURTO AGRAVADO,Boqueron,1,0,1,Marzo
LESION CULPOSA EN ACC. DE TTO.,Boqueron,3,3,1,Marzo
LESION,Boqueron,3,2,1,Marzo
ROBO DE OBJETOS,Boqueron,0,0,1,Marzo
ROBO AGRAVADO DE OBJETOS,Boqueron,0,0,1,Marzo
ROBO DE VEHICULOS,Boqueron,1,0,1,Marzo
ROBO AGRAVADO DE VEHICULOS,Boqueron,0,0,1,Marzo
ROBO DE MOTOCICLETAS,Boqueron,0,0,1,Marzo
ROBO AGRAVADO DE MOTOCICLETAS,Boqueron,0,0,1,Marzo
ABIGEATO,Presidente Hayes,1,1,1,Marzo
COACCION SEXUAL,Presidente Hayes,1,0,1,Marzo
HOMICIDIO CULPOSO EN ACC DE TTO.,Presidente Hayes,2,2,1,Marzo
HOMICIDIO DOLOSO,Presidente Hayes,1,1,1,Marzo
HURTO,Presidente Hayes,1,1,1,Marzo
HURTO AGRAVADO,Presidente Hayes,0,0,1,Marzo
LESION CULPOSA EN ACC. DE TTO.,Presidente Hayes,2,2,1,Marzo
LESION,Presidente Hayes,4,4,1,Marzo
ROBO DE OBJETOS,Presidente Hayes,0,0,1,Marzo
ROBO AGRAVADO DE OBJETOS,Presidente Hayes,1,0,1,Marzo
ROBO DE VEHICULOS,Presidente Hayes,1,0,1,Marzo
ROBO AGRAVADO DE VEHICULOS,Presidente Hayes,0,0,1,Marzo
ROBO DE MOTOCICLETAS,Presidente Hayes,1,0,1,Marzo
ROBO AGRAVADO DE MOTOCICLETAS,Presidente Hayes,0,0,1,Marzo
ABIGEATO,Asuncion,0,0,1,Abril
COACCION SEXUAL,Asuncion,2,2,1,Abril
HOMICIDIO CULPOSO EN ACC DE TTO.,Asuncion,3,3,1,Abril
HOMICIDIO DOLOSO,Asuncion,2,2,1,Abril
HURTO,Asuncion,12,5,1,Abril
HURTO AGRAVADO,Asuncion,9,4,1,Abril
LESION CULPOSA EN ACC. DE TTO.,Asuncion,2,2,1,Abril
LESION,Asuncion,10,8,1,Abril
ROBO DE OBJETOS,Asuncion,7,4,1,Abril
ROBO AGRAVADO DE OBJETOS,Asuncion,7,3,1,Abril
ROBO DE VEHICULOS,Asuncion,14,1,1,Abril
ROBO AGRAVADO DE VEHICULOS,Asuncion,0,0,1,Abril
ROBO DE MOTOCICLETAS,Asuncion,38,6,1,Abril
ROBO AGRAVADO DE MOTOCICLETAS,Asuncion,0,0,1,Abril
ABIGEATO,Central,7,1,1,Abril
COACCION SEXUAL,Central,7,6,1,Abril
HOMICIDIO CULPOSO EN ACC DE TTO.,Central,5,5,1,Abril
HOMICIDIO DOLOSO,Central,4,4,1,Abril
HURTO,Central,22,15,1,Abril
HURTO AGRAVADO,Central,21,7,1,Abril
LESION CULPOSA EN ACC. DE TTO.,Central,28,27,1,Abril
LESION,Central,21,10,1,Abril
ROBO DE OBJETOS,Central,6,4,1,Abril
ROBO AGRAVADO DE OBJETOS,Central,31,9,1,Abril
ROBO DE VEHICULOS,Central,5,0,1,Abril
ROBO AGRAVADO DE VEHICULOS,Central,2,0,1,Abril
ROBO DE MOTOCICLETAS,Central,53,2,1,Abril
ROBO AGRAVADO DE MOTOCICLETAS,Central,9,3,1,Abril
ABIGEATO,Cordillera,7,1,1,Abril
COACCION SEXUAL,Cordillera,2,2,1,Abril
HOMICIDIO CULPOSO EN ACC DE TTO.,Cordillera,1,1,1,Abril
HOMICIDIO DOLOSO,Cordillera,0,0,1,Abril
HURTO,Cordillera,5,1,1,Abril
HURTO AGRAVADO,Cordillera,4,1,1,Abril
LESION CULPOSA EN ACC. DE TTO.,Cordillera,4,4,1,Abril
LESION,Cordillera,3,2,1,Abril
ROBO DE OBJETOS,Cordillera,0,0,1,Abril
ROBO AGRAVADO DE OBJETOS,Cordillera,1,0,1,Abril
ROBO DE VEHICULOS,Cordillera,0,0,1,Abril
ROBO AGRAVADO DE VEHICULOS,Cordillera,0,0,1,Abril
ROBO DE MOTOCICLETAS,Cordillera,3,0,1,Abril
ROBO AGRAVADO DE MOTOCICLETAS,Cordillera,1,0,1,Abril
ABIGEATO,Amambay,1,0,1,Abril
COACCION SEXUAL,Amambay,1,1,1,Abril
HOMICIDIO CULPOSO EN ACC DE TTO.,Amambay,0,0,1,Abril
HOMICIDIO DOLOSO,Amambay,9,1,1,Abril
HURTO,Amambay,0,0,1,Abril
HURTO AGRAVADO,Amambay,4,1,1,Abril
LESION CULPOSA EN ACC. DE TTO.,Amambay,4,3,1,Abril
LESION,Amambay,8,3,1,Abril
ROBO DE OBJETOS,Amambay,1,0,1,Abril
ROBO AGRAVADO DE OBJETOS,Amambay,1,0,1,Abril
ROBO DE VEHICULOS,Amambay,0,0,1,Abril
ROBO AGRAVADO DE VEHICULOS,Amambay,0,0,1,Abril
ROBO DE MOTOCICLETAS,Amambay,3,1,1,Abril
ROBO AGRAVADO DE MOTOCICLETAS,Amambay,1,1,1,Abril
ABIGEATO,Concepcion,1,0,1,Abril
COACCION SEXUAL,Concepcion,1,1,1,Abril
HOMICIDIO CULPOSO EN ACC DE TTO.,Concepcion,4,4,1,Abril
HOMICIDIO DOLOSO,Concepcion,3,0,1,Abril
HURTO,Concepcion,1,1,1,Abril
HURTO AGRAVADO,Concepcion,3,1,1,Abril
LESION CULPOSA EN ACC. DE TTO.,Concepcion,5,4,1,Abril
LESION,Concepcion,3,1,1,Abril
ROBO DE OBJETOS,Concepcion,0,0,1,Abril
ROBO AGRAVADO DE OBJETOS,Concepcion,2,0,1,Abril
ROBO DE VEHICULOS,Concepcion,0,0,1,Abril
ROBO AGRAVADO DE VEHICULOS,Concepcion,0,0,1,Abril
ROBO DE MOTOCICLETAS,Concepcion,0,0,1,Abril
ROBO AGRAVADO DE MOTOCICLETAS,Concepcion,2,0,1,Abril
ABIGEATO,Alto Paraguay,1,0,1,Abril
COACCION SEXUAL,Alto Paraguay,0,0,1,Abril
HOMICIDIO CULPOSO EN ACC DE TTO.,Alto Paraguay,0,0,1,Abril
HOMICIDIO DOLOSO,Alto Paraguay,0,0,1,Abril
HURTO,Alto Paraguay,0,0,1,Abril
HURTO AGRAVADO,Alto Paraguay,0,0,1,Abril
LESION CULPOSA EN ACC. DE TTO.,Alto Paraguay,0,0,1,Abril
LESION,Alto Paraguay,0,0,1,Abril
ROBO DE OBJETOS,Alto Paraguay,0,0,1,Abril
ROBO AGRAVADO DE OBJETOS,Alto Paraguay,0,0,1,Abril
ROBO DE VEHICULOS,Alto Paraguay,0,0,1,Abril
ROBO AGRAVADO DE VEHICULOS,Alto Paraguay,0,0,1,Abril
ROBO DE MOTOCICLETAS,Alto Paraguay,0,0,1,Abril
ROBO AGRAVADO DE MOTOCICLETAS,Alto Paraguay,0,0,1,Abril
ABIGEATO,San Pedro,5,2,1,Abril
COACCION SEXUAL,San Pedro,4,3,1,Abril
HOMICIDIO CULPOSO EN ACC DE TTO.,San Pedro,4,4,1,Abril
HOMICIDIO DOLOSO,San Pedro,1,1,1,Abril
HURTO,San Pedro,1,1,1,Abril
HURTO AGRAVADO,San Pedro,3,1,1,Abril
LESION CULPOSA EN ACC. DE TTO.,San Pedro,7,5,1,Abril
LESION,San Pedro,7,3,1,Abril
ROBO DE OBJETOS,San Pedro,0,0,1,Abril
ROBO AGRAVADO DE OBJETOS,San Pedro,0,0,1,Abril
ROBO DE VEHICULOS,San Pedro,0,0,1,Abril
ROBO AGRAVADO DE VEHICULOS,San Pedro,0,0,1,Abril
ROBO DE MOTOCICLETAS,San Pedro,0,0,1,Abril
ROBO AGRAVADO DE MOTOCICLETAS,San Pedro,0,0,1,Abril
ABIGEATO,Caaguazu,6,2,1,Abril
COACCION SEXUAL,Caaguazu,2,1,1,Abril
HOMICIDIO CULPOSO EN ACC DE TTO.,Caaguazu,3,3,1,Abril
HOMICIDIO DOLOSO,Caaguazu,1,1,1,Abril
HURTO,Caaguazu,5,2,1,Abril
HURTO AGRAVADO,Caaguazu,7,1,1,Abril
LESION CULPOSA EN ACC. DE TTO.,Caaguazu,15,9,1,Abril
LESION,Caaguazu,4,3,1,Abril
ROBO DE OBJETOS,Caaguazu,1,0,1,Abril
ROBO AGRAVADO DE OBJETOS,Caaguazu,2,0,1,Abril
ROBO DE VEHICULOS,Caaguazu,0,0,1,Abril
ROBO AGRAVADO DE VEHICULOS,Caaguazu,0,0,1,Abril
ROBO DE MOTOCICLETAS,Caaguazu,2,0,1,Abril
ROBO AGRAVADO DE MOTOCICLETAS,Caaguazu,1,0,1,Abril
ABIGEATO,Caazapa,4,0,1,Abril
COACCION SEXUAL,Caazapa,1,0,1,Abril
HOMICIDIO CULPOSO EN ACC DE TTO.,Caazapa,1,0,1,Abril
HOMICIDIO DOLOSO,Caazapa,2,1,1,Abril
HURTO,Caazapa,1,0,1,Abril
HURTO AGRAVADO,Caazapa,4,1,1,Abril
LESION CULPOSA EN ACC. DE TTO.,Caazapa,3,3,1,Abril
LESION,Caazapa,1,0,1,Abril
ROBO DE OBJETOS,Caazapa,0,0,1,Abril
ROBO AGRAVADO DE OBJETOS,Caazapa,1,0,1,Abril
ROBO DE VEHICULOS,Caazapa,0,0,1,Abril
ROBO AGRAVADO DE VEHICULOS,Caazapa,0,0,1,Abril
ROBO DE MOTOCICLETAS,Caazapa,0,0,1,Abril
ROBO AGRAVADO DE MOTOCICLETAS,Caazapa,0,0,1,Abril
ABIGEATO,Guaira,7,2,1,Abril
COACCION SEXUAL,Guaira,3,2,1,Abril
HOMICIDIO CULPOSO EN ACC DE TTO.,Guaira,1,1,1,Abril
HOMICIDIO DOLOSO,Guaira,0,0,1,Abril
HURTO,Guaira,2,1,1,Abril
HURTO AGRAVADO,Guaira,3,3,1,Abril
LESION CULPOSA EN ACC. DE TTO.,Guaira,3,0,1,Abril
LESION,Guaira,0,0,1,Abril
ROBO DE OBJETOS,Guaira,0,0,1,Abril
ROBO AGRAVADO DE OBJETOS,Guaira,2,0,1,Abril
ROBO DE VEHICULOS,Guaira,0,0,1,Abril
ROBO AGRAVADO DE VEHICULOS,Guaira,0,0,1,Abril
ROBO DE MOTOCICLETAS,Guaira,0,0,1,Abril
ROBO AGRAVADO DE MOTOCICLETAS,Guaira,0,0,1,Abril
ABIGEATO,Alto Parana,0,0,1,Abril
COACCION SEXUAL,Alto Parana,16,15,1,Abril
HOMICIDIO CULPOSO EN ACC DE TTO.,Alto Parana,3,2,1,Abril
HOMICIDIO DOLOSO,Alto Parana,1,0,1,Abril
HURTO,Alto Parana,13,8,1,Abril
HURTO AGRAVADO,Alto Parana,9,3,1,Abril
LESION CULPOSA EN ACC. DE TTO.,Alto Parana,12,12,1,Abril
LESION,Alto Parana,8,2,1,Abril
ROBO DE OBJETOS,Alto Parana,3,0,1,Abril
ROBO AGRAVADO DE OBJETOS,Alto Parana,13,1,1,Abril
ROBO DE VEHICULOS,Alto Parana,1,0,1,Abril
ROBO AGRAVADO DE VEHICULOS,Alto Parana,2,0,1,Abril
ROBO DE MOTOCICLETAS,Alto Parana,5,2,1,Abril
ROBO AGRAVADO DE MOTOCICLETAS,Alto Parana,1,0,1,Abril
ABIGEATO,Itapua,5,0,1,Abril
COACCION SEXUAL,Itapua,1,1,1,Abril
HOMICIDIO CULPOSO EN ACC DE TTO.,Itapua,0,0,1,Abril
HOMICIDIO DOLOSO,Itapua,2,1,1,Abril
HURTO,Itapua,3,2,1,Abril
HURTO AGRAVADO,Itapua,4,1,1,Abril
LESION CULPOSA EN ACC. DE TTO.,Itapua,4,4,1,Abril
LESION,Itapua,5,3,1,Abril
ROBO DE OBJETOS,Itapua,2,1,1,Abril
ROBO AGRAVADO DE OBJETOS,Itapua,2,0,1,Abril
ROBO DE VEHICULOS,Itapua,0,0,1,Abril
ROBO AGRAVADO DE VEHICULOS,Itapua,1,0,1,Abril
ROBO DE MOTOCICLETAS,Itapua,5,0,1,Abril
ROBO AGRAVADO DE MOTOCICLETAS,Itapua,0,0,1,Abril
ABIGEATO,Canindeyu,0,0,1,Abril
COACCION SEXUAL,Canindeyu,2,1,1,Abril
HOMICIDIO CULPOSO EN ACC DE TTO.,Canindeyu,2,2,1,Abril
HOMICIDIO DOLOSO,Canindeyu,1,1,1,Abril
HURTO,Canindeyu,1,0,1,Abril
HURTO AGRAVADO,Canindeyu,2,1,1,Abril
LESION CULPOSA EN ACC. DE TTO.,Canindeyu,0,0,1,Abril
LESION,Canindeyu,1,1,1,Abril
ROBO DE OBJETOS,Canindeyu,0,0,1,Abril
ROBO AGRAVADO DE OBJETOS,Canindeyu,1,0,1,Abril
ROBO DE VEHICULOS,Canindeyu,0,0,1,Abril
ROBO AGRAVADO DE VEHICULOS,Canindeyu,0,0,1,Abril
ROBO DE MOTOCICLETAS,Canindeyu,0,0,1,Abril
ROBO AGRAVADO DE MOTOCICLETAS,Canindeyu,0,0,1,Abril
ABIGEATO,Misiones,2,0,1,Abril
COACCION SEXUAL,Misiones,0,0,1,Abril
HOMICIDIO CULPOSO EN ACC DE TTO.,Misiones,0,0,1,Abril
HOMICIDIO DOLOSO,Misiones,0,0,1,Abril
HURTO,Misiones,1,0,1,Abril
HURTO AGRAVADO,Misiones,8,8,1,Abril
LESION CULPOSA EN ACC. DE TTO.,Misiones,1,1,1,Abril
LESION,Misiones,0,0,1,Abril
ROBO DE OBJETOS,Misiones,1,1,1,Abril
ROBO AGRAVADO DE OBJETOS,Misiones,0,0,1,Abril
ROBO DE VEHICULOS,Misiones,0,0,1,Abril
ROBO AGRAVADO DE VEHICULOS,Misiones,0,0,1,Abril
ROBO DE MOTOCICLETAS,Misiones,0,0,1,Abril
ROBO AGRAVADO DE MOTOCICLETAS,Misiones,0,0,1,Abril
ABIGEATO,Paraguari,8,5,1,Abril
COACCION SEXUAL,Paraguari,1,0,1,Abril
HOMICIDIO CULPOSO EN ACC DE TTO.,Paraguari,1,1,1,Abril
HOMICIDIO DOLOSO,Paraguari,0,0,1,Abril
HURTO,Paraguari,2,2,1,Abril
HURTO AGRAVADO,Paraguari,2,0,1,Abril
LESION CULPOSA EN ACC. DE TTO.,Paraguari,6,6,1,Abril
LESION,Paraguari,3,3,1,Abril
ROBO DE OBJETOS,Paraguari,0,0,1,Abril
ROBO AGRAVADO DE OBJETOS,Paraguari,2,0,1,Abril
ROBO DE VEHICULOS,Paraguari,0,0,1,Abril
ROBO AGRAVADO DE VEHICULOS,Paraguari,0,0,1,Abril
ROBO DE MOTOCICLETAS,Paraguari,0,0,1,Abril
ROBO AGRAVADO DE MOTOCICLETAS,Paraguari,1,1,1,Abril
ABIGEATO,Ñeembucu,5,2,1,Abril
COACCION SEXUAL,Ñeembucu,0,0,1,Abril
HOMICIDIO CULPOSO EN ACC DE TTO.,Ñeembucu,0,0,1,Abril
HOMICIDIO DOLOSO,Ñeembucu,0,0,1,Abril
HURTO,Ñeembucu,4,0,1,Abril
HURTO AGRAVADO,Ñeembucu,1,1,1,Abril
LESION CULPOSA EN ACC. DE TTO.,Ñeembucu,2,2,1,Abril
LESION,Ñeembucu,0,0,1,Abril
ROBO DE OBJETOS,Ñeembucu,0,0,1,Abril
ROBO AGRAVADO DE OBJETOS,Ñeembucu,0,0,1,Abril
ROBO DE VEHICULOS,Ñeembucu,0,0,1,Abril
ROBO AGRAVADO DE VEHICULOS,Ñeembucu,0,0,1,Abril
ROBO DE MOTOCICLETAS,Ñeembucu,0,0,1,Abril
ROBO AGRAVADO DE MOTOCICLETAS,Ñeembucu,0,0,1,Abril
ABIGEATO,Boqueron,0,0,1,Abril
COACCION SEXUAL,Boqueron,0,0,1,Abril
HOMICIDIO CULPOSO EN ACC DE TTO.,Boqueron,0,0,1,Abril
HOMICIDIO DOLOSO,Boqueron,0,0,1,Abril
HURTO,Boqueron,0,0,1,Abril
HURTO AGRAVADO,Boqueron,0,0,1,Abril
LESION CULPOSA EN ACC. DE TTO.,Boqueron,1,1,1,Abril
LESION,Boqueron,1,1,1,Abril
ROBO DE OBJETOS,Boqueron,0,0,1,Abril
ROBO AGRAVADO DE OBJETOS,Boqueron,1,1,1,Abril
ROBO DE VEHICULOS,Boqueron,0,0,1,Abril
ROBO AGRAVADO DE VEHICULOS,Boqueron,0,0,1,Abril
ROBO DE MOTOCICLETAS,Boqueron,0,0,1,Abril
ROBO AGRAVADO DE MOTOCICLETAS,Boqueron,0,0,1,Abril
ABIGEATO,Presidente Hayes,1,1,1,Abril
COACCION SEXUAL,Presidente Hayes,0,0,1,Abril
HOMICIDIO CULPOSO EN ACC DE TTO.,Presidente Hayes,0,0,1,Abril
HOMICIDIO DOLOSO,Presidente Hayes,1,1,1,Abril
HURTO,Presidente Hayes,1,0,1,Abril
HURTO AGRAVADO,Presidente Hayes,0,0,1,Abril
LESION CULPOSA EN ACC. DE TTO.,Presidente Hayes,1,1,1,Abril
LESION,Presidente Hayes,1,1,1,Abril
ROBO DE OBJETOS,Presidente Hayes,0,0,1,Abril
ROBO AGRAVADO DE OBJETOS,Presidente Hayes,1,1,1,Abril
ROBO DE VEHICULOS,Presidente Hayes,0,0,1,Abril
ROBO AGRAVADO DE VEHICULOS,Presidente Hayes,0,0,1,Abril
ROBO DE MOTOCICLETAS,Presidente Hayes,3,1,1,Abril
ROBO AGRAVADO DE MOTOCICLETAS,Presidente Hayes,0,0,1,Abril
ABIGEATO,Asuncion,0,0,1,Mayo
COACCION SEXUAL,Asuncion,4,2,1,Mayo
HOMICIDIO CULPOSO EN ACC DE TTO.,Asuncion,2,2,1,Mayo
HOMICIDIO DOLOSO,Asuncion,1,1,1,Mayo
HURTO,Asuncion,13,4,1,Mayo
HURTO AGRAVADO,Asuncion,9,3,1,Mayo
LESION CULPOSA EN ACC. DE TTO.,Asuncion,17,17,1,Mayo
LESION,Asuncion,7,6,1,Mayo
ROBO DE OBJETOS,Asuncion,8,6,1,Mayo
ROBO AGRAVADO DE OBJETOS,Asuncion,7,2,1,Mayo
ROBO DE VEHICULOS,Asuncion,24,0,1,Mayo
ROBO AGRAVADO DE VEHICULOS,Asuncion,0,0,1,Mayo
ROBO DE MOTOCICLETAS,Asuncion,66,2,1,Mayo
ROBO AGRAVADO DE MOTOCICLETAS,Asuncion,0,0,1,Mayo
ABIGEATO,Central,3,0,1,Mayo
COACCION SEXUAL,Central,17,16,1,Mayo
HOMICIDIO CULPOSO EN ACC DE TTO.,Central,22,21,1,Mayo
HOMICIDIO DOLOSO,Central,2,1,1,Mayo
HURTO,Central,40,19,1,Mayo
HURTO AGRAVADO,Central,21,6,1,Mayo
LESION CULPOSA EN ACC. DE TTO.,Central,54,53,1,Mayo
LESION,Central,33,13,1,Mayo
ROBO DE OBJETOS,Central,14,5,1,Mayo
ROBO AGRAVADO DE OBJETOS,Central,38,6,1,Mayo
ROBO DE VEHICULOS,Central,18,0,1,Mayo
ROBO AGRAVADO DE VEHICULOS,Central,1,0,1,Mayo
ROBO DE MOTOCICLETAS,Central,74,0,1,Mayo
ROBO AGRAVADO DE MOTOCICLETAS,Central,6,0,1,Mayo
ABIGEATO,Cordillera,13,2,1,Mayo
COACCION SEXUAL,Cordillera,4,1,1,Mayo
HOMICIDIO CULPOSO EN ACC DE TTO.,Cordillera,2,1,1,Mayo
HOMICIDIO DOLOSO,Cordillera,0,0,1,Mayo
HURTO,Cordillera,5,2,1,Mayo
HURTO AGRAVADO,Cordillera,5,0,1,Mayo
LESION CULPOSA EN ACC. DE TTO.,Cordillera,13,10,1,Mayo
LESION,Cordillera,6,4,1,Mayo
ROBO DE OBJETOS,Cordillera,0,0,1,Mayo
ROBO AGRAVADO DE OBJETOS,Cordillera,1,0,1,Mayo
ROBO DE VEHICULOS,Cordillera,0,0,1,Mayo
ROBO AGRAVADO DE VEHICULOS,Cordillera,0,0,1,Mayo
ROBO DE MOTOCICLETAS,Cordillera,4,1,1,Mayo
ROBO AGRAVADO DE MOTOCICLETAS,Cordillera,0,0,1,Mayo
ABIGEATO,Amambay,1,0,1,Mayo
COACCION SEXUAL,Amambay,3,1,1,Mayo
HOMICIDIO CULPOSO EN ACC DE TTO.,Amambay,4,3,1,Mayo
HOMICIDIO DOLOSO,Amambay,7,0,1,Mayo
HURTO,Amambay,3,1,1,Mayo
HURTO AGRAVADO,Amambay,3,0,1,Mayo
LESION CULPOSA EN ACC. DE TTO.,Amambay,13,13,1,Mayo
LESION,Amambay,6,1,1,Mayo
ROBO DE OBJETOS,Amambay,1,0,1,Mayo
ROBO AGRAVADO DE OBJETOS,Amambay,2,0,1,Mayo
ROBO DE VEHICULOS,Amambay,0,0,1,Mayo
ROBO AGRAVADO DE VEHICULOS,Amambay,0,0,1,Mayo
ROBO DE MOTOCICLETAS,Amambay,3,2,1,Mayo
ROBO AGRAVADO DE MOTOCICLETAS,Amambay,3,1,1,Mayo
ABIGEATO,Concepcion,1,1,1,Mayo
COACCION SEXUAL,Concepcion,1,0,1,Mayo
HOMICIDIO CULPOSO EN ACC DE TTO.,Concepcion,3,3,1,Mayo
HOMICIDIO DOLOSO,Concepcion,3,1,1,Mayo
HURTO,Concepcion,1,0,1,Mayo
HURTO AGRAVADO,Concepcion,2,1,1,Mayo
LESION CULPOSA EN ACC. DE TTO.,Concepcion,5,5,1,Mayo
LESION,Concepcion,7,2,1,Mayo
ROBO DE OBJETOS,Concepcion,2,1,1,Mayo
ROBO AGRAVADO DE OBJETOS,Concepcion,2,0,1,Mayo
ROBO DE VEHICULOS,Concepcion,1,0,1,Mayo
ROBO AGRAVADO DE VEHICULOS,Concepcion,0,0,1,Mayo
ROBO DE MOTOCICLETAS,Concepcion,2,0,1,Mayo
ROBO AGRAVADO DE MOTOCICLETAS,Concepcion,5,0,1,Mayo
ABIGEATO,Alto Paraguay,1,0,1,Mayo
COACCION SEXUAL,Alto Paraguay,0,0,1,Mayo
HOMICIDIO CULPOSO EN ACC DE TTO.,Alto Paraguay,0,0,1,Mayo
HOMICIDIO DOLOSO,Alto Paraguay,1,1,1,Mayo
HURTO,Alto Paraguay,0,0,1,Mayo
HURTO AGRAVADO,Alto Paraguay,0,0,1,Mayo
LESION CULPOSA EN ACC. DE TTO.,Alto Paraguay,0,0,1,Mayo
LESION,Alto Paraguay,1,0,1,Mayo
ROBO DE OBJETOS,Alto Paraguay,0,0,1,Mayo
ROBO AGRAVADO DE OBJETOS,Alto Paraguay,0,0,1,Mayo
ROBO DE VEHICULOS,Alto Paraguay,0,0,1,Mayo
ROBO AGRAVADO DE VEHICULOS,Alto Paraguay,0,0,1,Mayo
ROBO DE MOTOCICLETAS,Alto Paraguay,0,0,1,Mayo
ROBO AGRAVADO DE MOTOCICLETAS,Alto Paraguay,0,0,1,Mayo
ABIGEATO,San Pedro,6,0,1,Mayo
COACCION SEXUAL,San Pedro,4,2,1,Mayo
HOMICIDIO CULPOSO EN ACC DE TTO.,San Pedro,11,10,1,Mayo
HOMICIDIO DOLOSO,San Pedro,1,1,1,Mayo
HURTO,San Pedro,1,1,1,Mayo
HURTO AGRAVADO,San Pedro,3,1,1,Mayo
LESION CULPOSA EN ACC. DE TTO.,San Pedro,3,2,1,Mayo
LESION,San Pedro,2,0,1,Mayo
ROBO DE OBJETOS,San Pedro,0,0,1,Mayo
ROBO AGRAVADO DE OBJETOS,San Pedro,7,0,1,Mayo
ROBO DE VEHICULOS,San Pedro,2,0,1,Mayo
ROBO AGRAVADO DE VEHICULOS,San Pedro,1,0,1,Mayo
ROBO DE MOTOCICLETAS,San Pedro,1,0,1,Mayo
ROBO AGRAVADO DE MOTOCICLETAS,San Pedro,3,1,1,Mayo
ABIGEATO,Caaguazu,5,2,1,Mayo
COACCION SEXUAL,Caaguazu,3,2,1,Mayo
HOMICIDIO CULPOSO EN ACC DE TTO.,Caaguazu,3,3,1,Mayo
HOMICIDIO DOLOSO,Caaguazu,0,0,1,Mayo
HURTO,Caaguazu,4,2,1,Mayo
HURTO AGRAVADO,Caaguazu,2,1,1,Mayo
